"CrsID","ARCCode","TYear","TTerm","CreditType"
1047,"Elective credit only","0000","TR","TR"
1048,"Elective credit only","0000","TR","TR"
1050,"ELE00","TR","TR","TR"
1050,"PSY480","TR","TR","TR"
1053,"POL405","TR","TR","TR"
1054,"ELE00","TR","TR","TR"
1056,"ELE00","TR","TR","TR"
1058,"Elective credit only","0000","TR","TR"
1059,"Elective credit only","0000","TR","TR"
1060,"Elective credit only","0000","TR","TR"
1061,"Elective credit only","0000","TR","TR"
1062,"Elective credit only","0000","TR","TR"
1063,"Elective credit only","0000","TR","TR"
1064,"Elective credit only","0000","TR","TR"
1065,"Elective credit only","0000","TR","TR"
1066,"Elective credit only","0000","TR","TR"
1067,"Elective credit only","0000","TR","TR"
1068,"Elective credit only","0000","TR","TR"
1069,"Elective credit only","0000","TR","TR"
1070,"Elective credit only","0000","TR","TR"
